content,url,description
whse_mineral_tenure.og_pipeline_segment_permit_sp,https://catalogue.data.gov.bc.ca/dataset/ecf567ea-4901-4f51-a5b0-35959ca96c47,"Pipeline centre-lines associated with oil and gas pipeline activity and falling within the area representing the pipeline right of way.  This dataset contains line features collected on or after July 11, 2016 for approved pipeline centre-line locations. The dataset is updated nightly."
whse_tantalis.ta_conservancy_areas_svw,https://catalogue.data.gov.bc.ca/dataset/550b3133-2004-468f-ba1f-b95d0e281e78,"TA_CONSERVANCY_AREAS_SVW contains the spatial representation (polygon) of the conservancy areas designated under the Park Act or by the Protected Areas of British Columbia Act, whose management and development is constrained by the Park Act. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system"
whse_tantalis.ta_park_ecores_pa_svw,https://catalogue.data.gov.bc.ca/dataset/1130248f-f1a3-4956-8b2e-38d29d3e4af7,"This dataset contains parks and protected areas managed for important conservation values and are dedicated for the preservation of their natural environments for the inspiration, use and enjoyment of the public. Places of special ecological importance are designated as ecological reserves for scientific research and educational purposes. Source data is Tantalis. 
*April 18, 2018: Prior to this date this dataset had one spatial boundary per park per survey plan that intersected the boundary of that park. This resulted in multiple identical boundaries for each park that had more than one survey plan overlapping it’s boundaries. The change aggregated the park data so that there is just one boundary per park with the plan numbers concatenated into a single column where each different plan number is separated by a comma."
whse_terrestrial_ecology.ste_scanned_map_boundary_sp,https://catalogue.data.gov.bc.ca/dataset/12d2c2b0-b2f6-4ab1-92af-842a4d66b5c2,"STE_SCANNED_MAP_BOUNDARY_SP includes an index of the mapsheet grid location of Soils, Terrain, Ecosystems and related scanned maps (including Agriculture Capability and Climate Capability maps). These maps are intended for on-screen viewing or printing. The majority of the maps have been geo-referenced. Mapping may not cover the whole map grid area. Some maps are interim or draft and may have been superseded. Some files are of related legends and map project text. Associated scanned map boundary attributes describe the project map (project level metadata) and provide a link for downloading the map, plus links to related reports, geo-referenced maps, and GIS digital data available from other sources. ATTENTION - The IMAGE_URL link is only useable by BC government staff. Public users can download the scanned maps by using the ECOCAT_URL link. There is no charge for the scanned map files. Please note that some maps and more recent mapping may also be available in digital GIS format. See - Ecosystem and Terrain Mapping Data Inventory."
whse_terrestrial_ecology.ste_ter_project_boundaries_svw,https://catalogue.data.gov.bc.ca/dataset/ad2f6d1e-cb53-4308-9263-e8deb731b996,"Terrain Mapping (TER) project boundaries contains (study areas) and attributes describing each project (project level metadata), plus links to the locations of other data associated with the project (e.g., reports, polygon datasets, plotfiles, legends) for terrain inventory, bioterrain and terrain stability mapping projects. TER divides the landscape into units according to surficial materials, landforms and geomorphological processes using the Terrain Classification System for British Columbia. This layer is derived from the STE_TEI_PROJECT_BOUNDARIES_SP layer by filtering on the PROJECT_TYPE attribute. Project types include: TEM, TEMNSS, TEMPRE, TEMSEI, TEMSET, TEMTSM, TSM, TSMREC, TSMDET, TIM, TBS, TBT, TIMSOI, TEMWHR, TEMSDM, TEMPRW, NEMPRW, and TEMSEW.

Current version:

v11 (published on 2024-10-03)

Previous versions:

v10 (published on 2023-11-14), v9 (published on 2023-03-01), v8 (published on 2016-09-01)"
whse_water_management.wls_water_rights_licences_sv,https://catalogue.data.gov.bc.ca/dataset/5549cae0-c2b1-4b96-9777-529d9720803c,"This is a province-wide SDE spatial layer displaying water rights licence data administrated under the _Water Sustainability Act_ which includes data for both surface water and groundwater Points of Diversions. Point of Diversion types include Surface water Points of Diversion (PDs) Groundwater Points of Well Diversion (PWDs) as well as points of Groundwater diversion (PGs), non-well  groundwater diversion points such as dugouts, ditches and quarries.  This layer contains a record for each water licence on each POD type that exists in the province (each POD can have multiple licences). For each record, some basic information about the water licence is included."
whse_water_management.wris_dams_public_svw,https://catalogue.data.gov.bc.ca/dataset/bd632217-35f9-4d01-8e57-a6dbc454f236,Province-wide SDE spatial view displaying dam locations. The public view displays a subset of the attribute data
whse_wildlife_inventory.spi_whf_incident_obs_ns_sv,https://catalogue.data.gov.bc.ca/dataset/50dc6ba5-8883-4bfc-b3aa-b420b190b45b,"A “wildlife habitat feature” is defined as a feature used by one or more wildlife species to meet their life history requirements. An incidental observation is a recorded detection of a species or its sign that was not a part of a formalized survey. This can occur when a non-focal species is observed during a survey for another species, outside of the study area, or as a chance observation made at random. The validity of these sightings is widely variable depending on the level of expertise of the observer and how visible the animal(s) was. 

This dataset is a subset of ‘Wildlife Species Inventory Incidental Observations - Non-secured’ https://catalogue.data.gov.bc.ca/dataset/7d5a14c4-3b6e-4c15-980b-68ee68796dbe, specific to publicly available Wildlife Habitat Features that may be applicable to the Kootenay Boundary Wildlife Habitat Features Order.

For a comprehensive view of wildlife habitat features for the Kootenay Boundary Region that may be applicable to the Kootenay Boundary Wildlife Habitat Features Order this dataset should be viewed in conjunction with ‘Wildlife Habitat Features - WSI Surveys – Publicly Available’ https://catalogue.data.gov.bc.ca/dataset/884c20fa-17c1-491a-b5cb-993be5dff8d3 , ‘Wildlife Habitat Features – FRPA – Publicly Available’ https://catalogue.data.gov.bc.ca/dataset/9188aeff-47b0-4932-a53a-f3e70096b781 and ‘ Wildlife Habitat Features Wildlife ‘Habitat Features - FRPA – Masked – Publicly Available’ https://catalogue.data.gov.bc.ca/dataset/11911766-cb1f-4efe-b015-97ecb8dcc1d0 

For more information on the Kootenay Boundary Wildlife Habitat Features Order see here: https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/laws-policies-standards-guidance/legislation-regulation/forest-range-practices-act/government-actions-regulation/wildlife-habitat-features/kootenay-boundary-wildlife-habitat-features-order"
whse_wildlife_management.wcp_fish_sensitive_ws_poly,https://catalogue.data.gov.bc.ca/dataset/1a560a12-9be1-49a4-971a-dbc80875a0d7,The dataset contains approved legal boundaries for fisheries sensitive watersheds. A FSW is a mapped area with specific management objectives intended to guide development activities which may adversely impact important fish values
whse_wildlife_management.wcp_wha_proposed_sp,https://catalogue.data.gov.bc.ca/dataset/c2fc0a99-075e-4fdc-b85d-a8a0d88af71c,Wildlife habitat areas (WHAs) are mapped areas that are necessary to meet the habitat requirements of an Identified Wildlife element. WHAs designate critical habitats in which activities are managed to limit their impact on the Identified Wildlife element for which the area was established. The purpose of WHAs is to conserve those habitats considered most limiting to a given Identified Wildlife element. This dataset contains proposed WHAs for the entire province except for the Omenica Region as there are none in the consultation phase at this time
whse_wildlife_management.wcp_wildlife_habitat_area_poly,https://catalogue.data.gov.bc.ca/dataset/b19ff409-ef71-4476-924e-b3bcf26a0127,"The dataset contains approved legal boundaries for wildlife habitat areas and specified areas for species at risk and regionally important wildlife.

Additional information including approved orders associated with WHAs is available [here](http://www.env.gov.bc.ca/cgi-bin/apps/faw/wharesult.cgi?search=show_approved)."
